Altium Designer Pick and Place Locations
D:\HW\lk\新电机低压套件\MD_STG_100_Rev1.0\Project Outputs for EV-MD100-STG\Pick Place for MD_STG_100_Rev1.0.csv

========================================================================================================================
File Design Information:

Date:       18/08/22
Time:       11:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R23","100R","TopLayer","R0603","2655.000mil","845.000mil","270","Resister,0603,5%"
"R22","100R","TopLayer","R0603","3375.000mil","869.884mil","270","Resister,0603,5%"
"R21","5.1k-1%","TopLayer","R0603","1845.000mil","1590.000mil","270","Resister,0603,5%"
"R20","40.2k-1%","TopLayer","R0603","2195.197mil","1805.254mil","180","Resister,0603,5%"
"R19","49.9k-1%","TopLayer","R0603","2065.000mil","1720.000mil","180","Resister,0603,5%"
"R18","1k-1%","TopLayer","R0603","2030.000mil","1561.116mil","180","Resister,0603,5%"
"R16","68k-1%","TopLayer","R0603","2065.000mil","1791.575mil","180","Resister,0603,5%"
"R15","0.047R","TopLayer","R2512","2392.409mil","1165.000mil","360","Resister,0603,5%"
"R14","470R","TopLayer","R0603","1500.000mil","1686.155mil","360","Resister,0603,5%"
"R13","10R","TopLayer","R1206","2359.534mil","1890.166mil","270","Resister,0603,5%"
"R12","1k-1%","TopLayer","R0603","2030.000mil","1625.000mil","180","Resister,0603,5%"
"R11","20R-1%","TopLayer","R0603","2235.000mil","1620.000mil","180","Resister,0603,5%"
"R8","100R","TopLayer","R0603","2650.000mil","1329.884mil","270","Resister,0603,5%"
"R7","4.7k-1%","TopLayer","R0603","3175.000mil","1745.000mil","180","Resister,0603,5%"
"R6","56k-1%","TopLayer","R0603","3035.000mil","1745.000mil","180","Resister,0603,5%"
"R5","100R","TopLayer","R0603","3375.000mil","1355.000mil","270","Resister,0603,5%"
"R3","2M","TopLayer","R0603","3355.000mil","1745.000mil","360","Resister,0603,5%"
"R2","22k-1%","TopLayer","R0805","3293.839mil","1595.000mil","360","Resister,0603,5%"
"R1","22k-1%","TopLayer","R0805","3446.339mil","1595.000mil","0","Resister,0603,5%"
"Q6","AOD4184A","TopLayer","DPAK","2917.205mil","292.323mil","270","N-Channel MOSFET"
"Q5","AOD4184A","TopLayer","DPAK","3650.000mil","302.323mil","270","N-Channel MOSFET"
"Q4","AOD4184A","TopLayer","DPAK","2907.205mil","790.000mil","270","N-Channel MOSFET"
"Q3","AOD4184A","TopLayer","DPAK","3655.000mil","810.000mil","270","N-Channel MOSFET"
"Q2","AOD4184A","TopLayer","DPAK","2923.270mil","1275.000mil","270","N-Channel MOSFET"
"Q1","AOD4184A","TopLayer","DPAK","3655.000mil","1270.000mil","270","N-Channel MOSFET"
"L1","68uH/0.86A","TopLayer","SWP6020S","2961.417mil","1940.000mil","180",""
"IC2","LMV331DBVR","TopLayer","SOT23-5","833.150mil","967.402mil","90",""
"D5","SS510","TopLayer","DO-214AC","3305.000mil","2025.000mil","180",""
"D4","1N4148WS","TopLayer","SOD-323","1964.734mil","395.000mil","360",""
"D3","1N4148WS","TopLayer","SOD-323","1970.118mil","815.000mil","0",""
"D2","1N4148WS","TopLayer","SOD-323","1955.118mil","1278.736mil","360",""
"D1","1N4148WS","TopLayer","SOD-323","1962.657mil","1723.740mil","90",""
"CN3","3.5mm,2pin","TopLayer","KF2EDGV-Y-3.5/3.81-2","4395.000mil","1222.500mil","270",""
"CN2","CN-2-20-254","TopLayer","PINA-20-254-S","708.661mil","1915.000mil","180",""
"CN1","3.5mm","TopLayer","KF2EDGV-Y-3.5/3.81-3","4414.016mil","445.000mil","270",""
"C28","68uF/25V","TopLayer","CAP-SMT-D-6.3*5.8_-_duplicate","2640.000mil","1900.000mil","180",""
"C27","0.1uF","TopLayer","C0603","2452.640mil","1815.000mil","270","Ceramic Capacitor,0805"
"C26","0.1uF","TopLayer","R0603","858.031mil","1070.000mil","180","Ceramic Capacitor,0805"
"C25","1nF","TopLayer","C0603","1015.000mil","935.000mil","360","Ceramic Capacitor,0805"
"C24","0.1uF","TopLayer","C0603","1874.173mil","1405.000mil","180","Ceramic Capacitor,0805"
"C23","1uF","TopLayer","C0805","2015.000mil","263.661mil","270","Ceramic Capacitor,0603"
"C20","680pf","TopLayer","C0603","1440.000mil","1335.000mil","360","Ceramic Capacitor,0805"
"C19","680pf","TopLayer","C0603","2130.000mil","1435.000mil","270","Ceramic Capacitor,0805"
"C16","4.7uF","TopLayer","C0805","1751.339mil","523.083mil","360","Ceramic Capacitor,0603"
"C15","0.1uF","TopLayer","C0603","1730.000mil","1885.000mil","270","Ceramic Capacitor,0805"
"C14","0.1uF","TopLayer","C0603","2100.000mil","2030.000mil","360","Ceramic Capacitor,0805"
"C13","680pf","TopLayer","C0603","1500.000mil","1621.116mil","180","Ceramic Capacitor,0805"
"C12","47uF/10V","TopLayer","CAP-SMT-D-5.0*5.3","1885.000mil","1933.287mil","180",""
"C11","680pf","TopLayer","C0603","2130.592mil","1591.116mil","270","Ceramic Capacitor,0805"
"C10","1uF","TopLayer","C0805","2030.000mil","1158.718mil","270","Ceramic Capacitor,0603"
"C9","0.1uF","TopLayer","C0603","3430.000mil","1867.498mil","270","Ceramic Capacitor,0805"
"C8","68pF","TopLayer","C0603","3035.000mil","1670.000mil","180","Ceramic Capacitor,0603"
"C7","0.22uF","TopLayer","C0603","3170.000mil","1880.000mil","90","Ceramic Capacitor,0603"
"C6","10nF","TopLayer","C0603","1480.000mil","1780.000mil","270","Ceramic Capacitor,0603"
"C5","1uF","TopLayer","C1206","3637.008mil","1490.000mil","180","Ceramic Capacitor,0603"
"C3","220uF/35V","TopLayer","CAP-SMT-D-10*10.2","4365.000mil","1830.000mil","180",""
"C2","0.1uF","TopLayer","C0603","1745.000mil","920.000mil","360","Ceramic Capacitor,0603"
"C1","4.7uF","TopLayer","C0805","1741.339mil","988.323mil","360","Ceramic Capacitor,0603"
